Date,外来患者数,通リハ,自病院救急,高圧酸素（救急分）,紹介数,入院患者数,新入院,癌新登録,外来新患,療養,救急からの新入院,ドック(人数),外来初診算定,外来からの新入院,透析施行,外来癌化学,救急,紹介からの新入院,院内健診(人数),高圧酸素
2012/1/31,13792,363,0,43,419,6488,435,20,1289,843,141,255,2251,265,1303,129,441,29,98,53
2012/2/28,14401,378,0,57,475,6817,406,25,1312,908,109,287,2324,268,1248,137,371,29,156,71
2012/3/31,14235,400,0,18,544,6492,345,35,1419,1068,65,334,2344,257,1231,152,301,23,211,24
2012/4/30,12909,386,0,42,451,6101,388,17,1162,1098,84,308,2096,277,1139,130,347,27,112,87
2012/5/31,13523,433,0,41,423,6831,380,33,1302,1176,71,337,2167,286,1230,168,345,23,135,96
2012/6/30,14301,405,0,2,496,6481,354,32,1355,1309,73,404,2298,269,1176,140,312,12,256,15
2012/7/31,14428,379,0,42,510,6914,409,28,1423,1338,112,373,2260,280,1209,143,457,17,159,101
2012/8/31,14972,401,0,40,508,7194,419,18,1439,1266,90,312,2401,314,1306,153,425,15,155,70
2012/9/30,13468,358,4,25,430,6588,349,12,1257,1118,93,333,2059,234,1211,116,399,22,131,101
2012/10/31,16267,429,0,65,551,6832,396,24,1435,1235,103,378,2401,270,1298,137,403,23,210,117
2012/11/30,16299,369,0,52,567,7033,428,32,1666,1155,104,420,2610,304,1264,135,441,20,225,128
2012/12/31,15263,348,28,36,566,7247,397,42,1495,1232,106,301,2357,275,1245,111,426,16,136,120
2013/1/31,13984,343,1,35,433,7496,430,20,1331,1351,111,307,2641,298,1328,132,424,21,66,105
2013/2/28,13936,299,0,18,464,6550,357,24,1288,1179,74,318,2264,259,1256,111,367,24,191,81
2013/3/31,15086,364,0,20,493,7187,342,22,1361,1330,67,402,2308,248,1354,133,335,27,199,96
2013/4/30,14756,408,0,30,493,6734,367,14,1303,1264,69,403,2073,274,1358,128,312,24,121,133
2013/5/31,15131,391,2,3,475,7045,357,12,1394,1316,85,360,2300,259,1369,173,383,13,147,93
2013/6/30,14744,376,0,5,559,6941,368,24,1336,1272,68,377,2238,278,1295,121,384,22,240,100
2013/7/31,16160,441,1,11,609,7194,425,18,1430,1310,84,385,2313,314,1417,156,407,27,195,92
2013/8/31,15318,419,2,16,528,6492,364,26,1305,1295,72,354,2235,278,1431,138,372,14,138,61
2013/9/30,14148,341,0,0,483,5901,337,27,1200,1211,63,348,1954,259,1272,146,347,15,141,57
2013/10/31,15667,368,1,12,535,6097,359,23,1222,1268,55,390,2042,294,1362,146,311,10,200,39
2013/11/30,16100,348,0,13,538,6229,347,26,1424,1385,81,402,1979,253,1350,120,370,13,181,54
